vsg,vsb,vsd,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs,
600e-3,0,-0,6,14e-9,-0,198.935e-18,-285.265e-3,1.1676e-3,98.6492e-15,-39.2271e-18,375.757e-18,173.734e-18,173.734e-18,
620e-3,0,-0,6,14e-9,-0,200.585e-18,-285.265e-3,1.2256e-3,122.564e-15,-39.9881e-18,380.581e-18,176.145e-18,176.145e-18,
640e-3,0,-0,6,14e-9,-0,202.148e-18,-285.265e-3,1.2818e-3,151.788e-15,-40.7079e-18,385.146e-18,178.428e-18,178.428e-18,
660e-3,0,-0,6,14e-9,-0,203.63e-18,-285.265e-3,1.3364e-3,187.432e-15,-41.39e-18,389.474e-18,180.592e-18,180.592e-18,
680e-3,0,-0,6,14e-9,-0,205.038e-18,-285.265e-3,1.3892e-3,230.829e-15,-42.0374e-18,393.585e-18,182.647e-18,182.647e-18,
700e-3,0,-0,6,14e-9,-0,206.378e-18,-285.265e-3,1.4403e-3,283.58e-15,-42.6529e-18,397.496e-18,184.603e-18,184.603e-18,
720e-3,0,-0,6,14e-9,-0,207.655e-18,-285.265e-3,1.4896e-3,347.602e-15,-43.2389e-18,401.223e-18,186.466e-18,186.466e-18,
740e-3,0,-0,6,14e-9,-0,208.875e-18,-285.265e-3,1.5371e-3,425.194e-15,-43.7977e-18,404.779e-18,188.245e-18,188.245e-18,
760e-3,0,-0,6,14e-9,-0,210.041e-18,-285.265e-3,1.5829e-3,519.109e-15,-44.3312e-18,408.178e-18,189.944e-18,189.944e-18,
780e-3,0,-0,6,14e-9,-0,211.156e-18,-285.265e-3,1.6269e-3,632.639e-15,-44.8412e-18,411.429e-18,191.57e-18,191.57e-18,
800e-3,0,-0,6,14e-9,-0,212.226e-18,-285.265e-3,1.6692e-3,769.723e-15,-45.3293e-18,414.545e-18,193.127e-18,193.127e-18,
0,0,-0,10,14e-9,-0,180.474e-18,-282.12e-3,109.672e-9,-17.1528e-51,-11.1314e-21,193.361e-18,73.1056e-18,73.1056e-18,
20e-3,0,-0,10,14e-9,-0,181.921e-18,-282.12e-3,210.228e-9,9.5453e-18,-22.4409e-21,196.278e-18,74.5639e-18,74.5639e-18,
40e-3,0,-0,10,14e-9,-0,183.451e-18,-282.12e-3,402.815e-9,15.1177e-18,-45.1422e-21,199.382e-18,76.116e-18,76.116e-18,
60e-3,0,-0,10,14e-9,-0,185.074e-18,-282.12e-3,771.217e-9,17.8155e-18,-90.5639e-21,202.719e-18,77.7847e-18,77.7847e-18,
80e-3,0,-0,10,14e-9,-0,186.82e-18,-282.12e-3,1.4743e-6,18.7982e-18,-180.997e-21,206.392e-18,79.6208e-18,79.6208e-18,
100e-3,0,-0,10,14e-9,-0,188.752e-18,-282.12e-3,2.8104e-6,19.559e-18,-359.547e-21,210.614e-18,81.732e-18,81.732e-18,
120e-3,0,-0,10,14e-9,-0,191.003e-18,-282.12e-3,5.3288e-6,22.443e-18,-706.893e-21,215.809e-18,84.3297e-18,84.3297e-18,
140e-3,0,-0,10,14e-9,-0,193.81e-18,-282.12e-3,10.0064e-6,31.6273e-18,-1.3650e-18,222.74e-18,87.7951e-18,87.7951e-18,
160e-3,0,-0,10,14e-9,-0,197.553e-18,-282.12e-3,18.4721e-6,55.1969e-18,-2.5565e-18,232.61e-18,92.7298e-18,92.7298e-18,
180e-3,0,-0,10,14e-9,-0,202.705e-18,-282.12e-3,33.1594e-6,111.66e-18,-4.5609e-18,246.922e-18,99.8861e-18,99.8861e-18,
200e-3,0,-0,10,14e-9,-0,209.621e-18,-282.12e-3,57.1028e-6,221.499e-18,-7.5940e-18,266.82e-18,109.835e-18,109.835e-18,
220e-3,0,-0,10,14e-9,-0,218.229e-18,-282.12e-3,93.1484e-6,411.45e-18,-11.625e-18,292.098e-18,122.474e-18,122.474e-18,
240e-3,0,-0,10,14e-9,-0,227.951e-18,-282.12e-3,142.917e-6,718.289e-18,-16.3219e-18,320.935e-18,136.892e-18,136.892e-18,
260e-3,0,-0,10,14e-9,-0,238.008e-18,-282.12e-3,206.33e-6,1.1849e-15,-21.2314e-18,350.869e-18,151.859e-18,151.859e-18,
280e-3,0,-0,10,14e-9,-0,247.786e-18,-282.12e-3,281.993e-6,1.8605e-15,-25.9978e-18,379.958e-18,166.404e-18,166.404e-18,
300e-3,0,-0,10,14e-9,-0,256.952e-18,-282.12e-3,367.9e-6,2.8033e-15,-30.4342e-18,407.162e-18,180.006e-18,180.006e-18,
320e-3,0,-0,10,14e-9,-0,265.387e-18,-282.12e-3,461.977e-6,4.0834e-15,-34.4815e-18,432.127e-18,192.488e-18,192.488e-18,
340e-3,0,-0,10,14e-9,-0,273.091e-18,-282.12e-3,562.336e-6,5.7866e-15,-38.1475e-18,454.868e-18,203.859e-18,203.859e-18,
360e-3,0,-0,10,14e-9,-0,280.117e-18,-282.12e-3,667.355e-6,8.0187e-15,-41.4665e-18,475.558e-18,214.204e-18,214.204e-18,
380e-3,0,-0,10,14e-9,-0,286.532e-18,-282.12e-3,775.665e-6,10.9092e-15,-44.4797e-18,494.414e-18,223.632e-18,223.632e-18,
400e-3,0,-0,10,14e-9,-0,292.405e-18,-282.12e-3,886.123e-6,14.617e-15,-47.226e-18,511.653e-18,232.251e-18,232.251e-18,
420e-3,0,-0,10,14e-9,-0,297.799e-18,-282.12e-3,997.777e-6,19.336e-15,-49.74e-18,527.468e-18,240.159e-18,240.159e-18,
440e-3,0,-0,10,14e-9,-0,302.77e-18,-282.12e-3,1.1098e-3,25.3029e-15,-52.0513e-18,542.033e-18,247.442e-18,247.442e-18,
460e-3,0,-0,10,14e-9,-0,307.367e-18,-282.12e-3,1.2216e-3,32.8057e-15,-54.1848e-18,555.494e-18,254.172e-18,254.172e-18,
480e-3,0,-0,10,14e-9,-0,311.632e-18,-282.12e-3,1.3325e-3,42.1939e-15,-56.1617e-18,567.977e-18,260.414e-18,260.414e-18,
500e-3,0,-0,10,14e-9,-0,315.601e-18,-282.12e-3,1.4422e-3,53.892e-15,-57.9996e-18,579.592e-18,266.221e-18,266.221e-18,
520e-3,0,-0,10,14e-9,-0,319.307e-18,-282.12e-3,1.5503e-3,68.4133e-15,-59.7139e-18,590.431e-18,271.641e-18,271.641e-18,
540e-3,0,-0,10,14e-9,-0,322.775e-18,-282.12e-3,1.6563e-3,86.3793e-15,-61.3174e-18,600.575e-18,276.712e-18,276.712e-18,
560e-3,0,-0,10,14e-9,-0,326.03e-18,-282.12e-3,1.7602e-3,108.54e-15,-62.8213e-18,610.092e-18,281.471e-18,281.471e-18,
580e-3,0,-0,10,14e-9,-0,329.092e-18,-282.12e-3,1.8616e-3,135.801e-15,-64.2352e-18,619.045e-18,285.947e-18,285.947e-18,
600e-3,0,-0,10,14e-9,-0,331.98e-18,-282.12e-3,1.9604e-3,169.253e-15,-65.5675e-18,627.485e-18,290.167e-18,290.167e-18,
620e-3,0,-0,10,14e-9,-0,334.709e-18,-282.12e-3,2.0566e-3,210.209e-15,-66.8256e-18,635.458e-18,294.154e-18,294.154e-18,
640e-3,0,-0,10,14e-9,-0,337.292e-18,-282.12e-3,2.1499e-3,260.249e-15,-68.0158e-18,643.006e-18,297.928e-18,297.928e-18,
660e-3,0,-0,10,14e-9,-0,339.743e-18,-282.12e-3,2.2403e-3,321.272e-15,-69.1439e-18,650.165e-18,301.507e-18,301.507e-18,
