vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs,
140e-3,0,0,6,14e-9,0,47.5225e-18,301.345e-3,6.1295e-6,-15.6287e-15,-645.594e-21,136.111e-18,36.5556e-18,36.5556e-18,
160e-3,0,0,6,14e-9,0,49.0033e-18,301.345e-3,11.0067e-6,-24.1764e-15,-1.1421e-18,140.066e-18,38.533e-18,38.533e-18,
180e-3,0,0,6,14e-9,0,51.0536e-18,301.345e-3,19.4331e-6,-35.9865e-15,-1.9595e-18,145.801e-18,41.4006e-18,41.4006e-18,
200e-3,0,0,6,14e-9,0,53.8876e-18,301.345e-3,33.4195e-6,-52.5249e-15,-3.2107e-18,153.972e-18,45.4859e-18,45.4859e-18,
220e-3,0,0,6,14e-9,0,57.5951e-18,301.345e-3,55.3688e-6,-75.8961e-15,-4.9491e-18,164.864e-18,50.9318e-18,50.9318e-18,
240e-3,0,0,6,14e-9,0,62.0322e-18,301.345e-3,87.519e-6,-108.772e-15,-7.1112e-18,178.062e-18,57.531e-18,57.531e-18,
260e-3,0,0,6,14e-9,0,66.8618e-18,301.345e-3,131.267e-6,-154.153e-15,-9.5333e-18,192.565e-18,64.7827e-18,64.7827e-18,
280e-3,0,0,6,14e-9,0,71.7315e-18,301.345e-3,186.836e-6,-215.137e-15,-12.0381e-18,207.314e-18,72.1572e-18,72.1572e-18,
300e-3,0,0,6,14e-9,0,76.4116e-18,301.345e-3,253.435e-6,-294.875e-15,-14.5044e-18,221.607e-18,79.3036e-18,79.3036e-18,
320e-3,0,0,6,14e-9,0,80.8092e-18,301.345e-3,329.667e-6,-396.677e-15,-16.8762e-18,235.146e-18,86.0729e-18,86.0729e-18,
340e-3,0,0,6,14e-9,0,84.9158e-18,301.345e-3,413.895e-6,-524.17e-15,-19.1387e-18,247.884e-18,92.442e-18,92.442e-18,
360e-3,0,0,6,14e-9,0,88.7576e-18,301.345e-3,504.476e-6,-681.444e-15,-21.2947e-18,259.88e-18,98.4399e-18,98.4399e-18,
380e-3,0,0,6,14e-9,0,92.3677e-18,301.345e-3,599.881e-6,-873.168e-15,-23.3515e-18,271.213e-18,104.107e-18,104.107e-18,
400e-3,0,0,6,14e-9,0,95.7749e-18,301.345e-3,698.75e-6,-1.1046e-12,-25.315e-18,281.955e-18,109.477e-18,109.477e-18,
420e-3,0,0,6,14e-9,0,99.0012e-18,301.345e-3,799.909e-6,-1.3821e-12,-27.1893e-18,292.156e-18,114.578e-18,114.578e-18,
