index,TE_0,TE_1,TE_3,Val
61,5.0,20.556,7.222,15223.241827211268
62,5.0,20.556,9.444,12979.597699140253
63,5.0,20.556,11.667,11309.636989764429
64,5.0,20.556,13.889,9970.289673888721
65,5.0,20.556,16.111,8964.900277210501
66,5.0,20.556,18.333,8074.081496583913
67,5.0,20.556,20.556,7318.72922991274
68,5.0,20.556,22.778,6723.684778471101
69,5.0,20.556,25.0,6160.216113988323
70,5.0,22.778,5.0,16921.30034317124
71,5.0,22.778,7.222,13463.83290076684
72,5.0,22.778,9.444,11187.068596968744
73,5.0,22.778,11.667,9488.414354016124
74,5.0,22.778,13.889,8163.197727284945
75,5.0,22.778,16.111,7089.8171808802845
76,5.0,22.778,18.333,6182.932713268041
77,5.0,22.778,20.556,5450.922735436712
78,5.0,22.778,22.778,4792.19756775233
79,5.0,22.778,25.0,4213.4876903459135
80,5.0,25.0,5.0,15300.077380150766
81,5.0,25.0,7.222,11876.030088301442
82,5.0,25.0,9.444,9588.09200120837
83,5.0,25.0,11.667,7848.211115327027
84,5.0,25.0,13.889,6499.644576654058
85,5.0,25.0,16.111,5404.388744129372
86,5.0,25.0,18.333,4472.710386376473
87,5.0,25.0,20.556,3726.4729627086676
88,5.0,25.0,22.778,3053.202938125973
89,5.0,25.0,25.0,2502.1574644656203
90,7.222,7.222,5.0,45482.19133291606
91,7.222,7.222,7.222,42114.36909809601
92,7.222,7.222,9.444,39865.45870549992
93,7.222,7.222,11.667,38307.02755909221
94,7.222,7.222,13.889,37033.0309484275
95,7.222,7.222,16.111,36300.22700676552
96,7.222,7.222,18.333,35369.002801830924
97,7.222,7.222,20.556,34869.41377127735
98,7.222,7.222,22.778,34504.62722319552
99,7.222,7.222,25.0,34200.83928378968
100,7.222,9.444,5.0,33944.82771609035
101,7.222,9.444,7.222,30587.013788435404
102,7.222,9.444,9.444,28563.273549864458
103,7.222,9.444,11.667,27058.171222854482
104,7.222,9.444,13.889,25939.396241536644
105,7.222,9.444,16.111,25039.92003575121
106,7.222,9.444,18.333,24183.99903202086
107,7.222,9.444,20.556,23530.78689483986
108,7.222,9.444,22.778,23094.272506356323
109,7.222,9.444,25.0,22631.123245830295
110,7.222,11.667,5.0,27523.698269807395
111,7.222,11.667,7.222,24173.148394174335
112,7.222,11.667,9.444,22036.334121157208
113,7.222,11.667,11.667,20486.954125003253
114,7.222,11.667,13.889,19351.133906840332
115,7.222,11.667,16.111,18337.043630566986
116,7.222,11.667,18.333,17629.075622363715
117,7.222,11.667,20.556,16957.63857578319
118,7.222,11.667,22.778,16420.841518793946
119,7.222,11.667,25.0,15925.575295975916
120,7.222,13.889,5.0,23100.46328225831
121,7.222,13.889,7.222,19736.010986124744
122,7.222,13.889,9.444,17635.903744054103
123,7.222,13.889,11.667,16049.008752950196
124,7.222,13.889,13.889,14787.146833987947
