it,Gain,UGF,BW,Pole_2,Power,CMRR,SR,vds_0,vds_1,vds_2,vds_sat_0,vds_sat_1,vds_sat_2,TEs_0,TEs_1,TEs_2,Fins_0,Fins_1,Fins_2,I_s,I_tail
36,22.059491248122526,10012735.912972666,789911.0684925682,202792385982.6239,2.809183890925344e-05,46.25079558024565,5.852062120102651,0.25805805805805804,0.5535535535535535,0.3883883883883884,0.22857142857142856,0.09302325581395349,0.12307692307692308,8.75,21.5,16.25,2.1438370486081655,9.795975923164194,4.093968068850867,2.773742537304568e-05,2.337977663695081e-05
37,21.569529445403766,9992550.655897427,834064.9789804182,137006313450.13496,2.803573373890868e-05,47.60618954758026,5.840269346742772,0.25885885885885884,0.5887887887887888,0.35235235235235235,0.22857142857142856,0.09302325581395349,0.1,8.75,21.5,20.0,2.1421158225024657,9.643936324317472,8.084322012994965,2.7715155779053927e-05,2.3379888433249082e-05
38,23.448985623942498,10013708.164616188,673202.3900217379,436761266705.817,2.5979731488593726e-05,37.688907130745825,5.412029504134322,0.2636636636636636,0.3069069069069069,0.6294294294294295,0.22857142857142856,0.08602150537634409,0.4,8.75,23.25,5.0,1.9714422260718578,13.397323676629897,0.3659808021490738,2.5506944036833704e-05,2.162012502490179e-05
39,23.25994341483682,9985469.929620381,686074.5942275794,372569638956.3108,2.590642414070886e-05,42.542945174437854,5.396791884125544,0.26766766766766764,0.4286286286286285,0.5037037037037038,0.22857142857142856,0.08602150537634409,0.22857142857142856,8.75,23.25,8.75,1.9500470390787323,12.758695303166899,0.8864773155786279,2.5415533032590834e-05,2.1620049812222462e-05
40,22.872593837975575,10008024.769165175,718983.0957089798,284385931667.57367,2.5965024778963233e-05,45.368168106279455,5.40899084935275,0.27007007007007006,0.4950950950950951,0.43483483483483487,0.22857142857142856,0.08602150537634409,0.16,8.75,23.25,12.5,1.9455637534425128,12.56313009553077,1.8920207496988652,2.5357101060490452e-05,2.1620046208231536e-05
41,22.446284013539728,9976993.307142597,752810.1746719922,202068258536.55066,2.5884720847434893e-05,47.258358555145364,5.392228476637038,0.27087087087087086,0.5407407407407406,0.3883883883883884,0.22857142857142856,0.08602150537634409,0.12307692307692308,8.75,23.25,16.25,1.9440864301772496,12.209229602818127,3.785831790543156,2.5337846674572742e-05,2.1620076209536945e-05
42,21.96604535797583,10011144.802917583,798328.2087312374,137260956971.80457,2.597377981952518e-05,48.656123752203015,5.410687752200216,0.2724724724724724,0.5751751751751752,0.35235235235235235,0.22857142857142856,0.08602150537634409,0.1,8.75,23.25,20.0,1.9411564562810122,12.25257127873618,7.475846748569113,2.5299659468391485e-05,2.162017577289231e-05
43,23.669181243037862,10014418.472099176,656397.1294554521,436792218478.76385,2.41630507484038e-05,38.53539020266119,5.033478201724707,0.27727727727727725,0.29329329329329323,0.6294294294294295,0.22857142857142856,0.08,0.4,8.75,25.0,5.0,1.7972394547359283,17.6069662331308,0.3403647976657167,2.342394712226852e-05,2.0106872919008436e-05
44,23.185563316495124,9983743.116463698,691855.2362037802,283695822791.2751,2.4089001816730996e-05,46.253508778967706,5.0181048502293,0.2828828828828828,0.4822822822822822,0.43483483483483487,0.22857142857142856,0.08,0.16,8.75,25.0,12.5,1.7881235181277084,16.13324224965991,1.7595885415869654,2.3305136455989067e-05,2.0106748608671323e-05
45,22.774897351106432,10016320.792604038,727718.4028438187,202864586278.4552,2.4167784408736232e-05,48.18913114043157,5.034485188474063,0.28448448448448443,0.5271271271271271,0.3883883883883884,0.22857142857142856,0.08,0.12307692307692308,8.75,25.0,16.25,1.7855807486649127,15.99349315552243,3.5208419104157676,2.327199579836346e-05,2.0106775640446355e-05
