"TE_stack1 (fins=4,vds=0.1) X","TE_stack1 (fins=4,vds=0.1) Y","TE_stack1 (fins=4,vds=0.2) X","TE_stack1 (fins=4,vds=0.2) Y","TE_stack1 (fins=4,vds=0.3) X","TE_stack1 (fins=4,vds=0.3) Y","TE_stack1 (fins=4,vds=0.4) X","TE_stack1 (fins=4,vds=0.4) Y","TE_stack1 (fins=4,vds=0.5) X","TE_stack1 (fins=4,vds=0.5) Y","TE_stack1 (fins=4,vds=0.6) X","TE_stack1 (fins=4,vds=0.6) Y","TE_stack1 (fins=4,vds=0.7) X","TE_stack1 (fins=4,vds=0.7) Y","TE_stack1 (fins=10,vds=0.1) X","TE_stack1 (fins=10,vds=0.1) Y","TE_stack1 (fins=10,vds=0.2) X","TE_stack1 (fins=10,vds=0.2) Y","TE_stack1 (fins=10,vds=0.3) X","TE_stack1 (fins=10,vds=0.3) Y","TE_stack1 (fins=10,vds=0.4) X","TE_stack1 (fins=10,vds=0.4) Y","TE_stack1 (fins=10,vds=0.5) X","TE_stack1 (fins=10,vds=0.5) Y","TE_stack1 (fins=10,vds=0.6) X","TE_stack1 (fins=10,vds=0.6) Y","TE_stack1 (fins=10,vds=0.7) X","TE_stack1 (fins=10,vds=0.7) Y","TE_stack1 (fins=20,vds=0.1) X","TE_stack1 (fins=20,vds=0.1) Y","TE_stack1 (fins=20,vds=0.2) X","TE_stack1 (fins=20,vds=0.2) Y","TE_stack1 (fins=20,vds=0.3) X","TE_stack1 (fins=20,vds=0.3) Y","TE_stack1 (fins=20,vds=0.4) X","TE_stack1 (fins=20,vds=0.4) Y","TE_stack1 (fins=20,vds=0.5) X","TE_stack1 (fins=20,vds=0.5) Y","TE_stack1 (fins=20,vds=0.6) X","TE_stack1 (fins=20,vds=0.6) Y","TE_stack1 (fins=20,vds=0.7) X","TE_stack1 (fins=20,vds=0.7) Y","TE_stack1 (fins=30,vds=0.1) X","TE_stack1 (fins=30,vds=0.1) Y","TE_stack1 (fins=30,vds=0.2) X","TE_stack1 (fins=30,vds=0.2) Y","TE_stack1 (fins=30,vds=0.3) X","TE_stack1 (fins=30,vds=0.3) Y","TE_stack1 (fins=30,vds=0.4) X","TE_stack1 (fins=30,vds=0.4) Y","TE_stack1 (fins=30,vds=0.5) X","TE_stack1 (fins=30,vds=0.5) Y","TE_stack1 (fins=30,vds=0.6) X","TE_stack1 (fins=30,vds=0.6) Y","TE_stack1 (fins=30,vds=0.7) X","TE_stack1 (fins=30,vds=0.7) Y","TE_stack1 (fins=40,vds=0.1) X","TE_stack1 (fins=40,vds=0.1) Y","TE_stack1 (fins=40,vds=0.2) X","TE_stack1 (fins=40,vds=0.2) Y","TE_stack1 (fins=40,vds=0.3) X","TE_stack1 (fins=40,vds=0.3) Y","TE_stack1 (fins=40,vds=0.4) X","TE_stack1 (fins=40,vds=0.4) Y","TE_stack1 (fins=40,vds=0.5) X","TE_stack1 (fins=40,vds=0.5) Y","TE_stack1 (fins=40,vds=0.6) X","TE_stack1 (fins=40,vds=0.6) Y","TE_stack1 (fins=40,vds=0.7) X","TE_stack1 (fins=40,vds=0.7) Y"
0.08000000000000002,29.24492775903386,0.08000000000000002,29.24102759878986,0.08000000000000002,29.23699456794143,0.08000000000000002,29.23268153652473,0.08000000000000002,29.2276516976528,0.08000000000000002,29.22140519524886,0.08000000000000002,29.21310748074472,0.08000000000000002,29.2471710831236,0.08000000000000002,29.24488462435126,0.08000000000000002,29.2420183026421,0.08000000000000002,29.23859618989964,0.08000000000000002,29.23434364187527,0.08000000000000002,29.22888463708603,0.08000000000000002,29.22151505677223,0.08000000000000002,29.24791476701614,0.08000000000000002,29.24614915542838,0.08000000000000002,29.24364474515863,0.08000000000000002,29.24048632248013,0.08000000000000002,29.23645472045095,0.08000000000000002,29.23121514197382,0.08000000000000002,29.22410547831631,0.08000000000000002,29.24816220794791,0.08000000000000002,29.24656833730907,0.08000000000000002,29.24418161871899,0.08000000000000002,29.24110751017763,0.08000000000000002,29.23714549253686,0.08000000000000002,29.23197451508754,0.08000000000000002,29.22494632001984,0.08000000000000002,29.24828584201791,0.08000000000000002,29.24677749424932,0.08000000000000002,29.24444907418679,0.08000000000000002,29.24141646216611,0.08000000000000002,29.2374884808662,0.08000000000000002,29.23235096384937,0.08000000000000002,29.22536255514841
0.08800000000000002,29.24465775259074,0.08800000000000002,29.24162663348153,0.08800000000000002,29.23837969906311,0.08800000000000002,29.23494128637514,0.08800000000000002,29.2310036074177,0.08800000000000002,29.22619317119268,0.08800000000000002,29.21992831283673,0.08800000000000002,29.24636676888222,0.08800000000000002,29.24455137257095,0.08800000000000002,29.24216964419947,0.08800000000000002,29.23937852339426,0.08800000000000002,29.23599512454175,0.08800000000000002,29.23174078649449,0.08800000000000002,29.22613019646353,0.08800000000000002,29.24693328382237,0.08800000000000002,29.24550997044933,0.08800000000000002,29.24339576012397,0.08800000000000002,29.24079456842026,0.08800000000000002,29.23756622145853,0.08800000000000002,29.23346362349174,0.08800000000000002,29.22803252911409,0.08800000000000002,29.24712177460254,0.08800000000000002,29.24582770535311,0.08800000000000002,29.24380039303005,0.08800000000000002,29.24125972784928,0.08800000000000002,29.23807989643618,0.08800000000000002,29.23402432607874,0.08800000000000002,29.22864901840643,0.08800000000000002,29.2472159544546,0.08800000000000002,29.24598623669162,0.08800000000000002,29.24400195058368,0.08800000000000002,29.24149102905831,0.08800000000000002,29.23833487164392,0.08800000000000002,29.23430216028561,0.08800000000000002,29.2289540036171
0.09600000000000003,29.24375955773871,0.09600000000000003,29.24135339960879,0.09600000000000003,29.23862673033765,0.09600000000000003,29.23577475531208,0.09600000000000003,29.23259299999764,0.09600000000000003,29.22880267245711,0.09600000000000003,29.22399112678764,0.09600000000000003,29.24505651769438,0.09600000000000003,29.24355544408894,0.09600000000000003,29.24145538523767,0.09600000000000003,29.23905526767291,0.09600000000000003,29.23624755811993,0.09600000000000003,29.23282658846767,0.09600000000000003,29.22845177503812,0.09600000000000003,29.24548640136774,0.09600000000000003,29.24427683521131,0.09600000000000003,29.24236939285786,0.09600000000000003,29.24009966763174,0.09600000000000003,29.23739323410216,0.09600000000000003,29.23406877239019,0.09600000000000003,29.22980894342242,0.09600000000000003,29.24562942382431,0.09600000000000003,29.24451590956928,0.09600000000000003,29.24267090154618,0.09600000000000003,29.24044245685926,0.09600000000000003,29.23776728168785,0.09600000000000003,29.23447216968564,0.09600000000000003,29.23024744791826,0.09600000000000003,29.24570088532717,0.09600000000000003,29.24463518553421,0.09600000000000003,29.24282106558049,0.09600000000000003,29.24061285662328,0.09600000000000003,29.23795284677617,0.09600000000000003,29.23467189152555,0.09600000000000003,29.23046413183224
0.104,29.24217755117696,0.104,29.24020399280678,0.104,29.23777762773566,0.104,29.23527668779693,0.104,29.23258260307898,0.104,29.22948768452133,0.104,29.22569346389823,0.104,29.24315523112454,0.104,29.24184118033718,0.104,29.23984845068651,0.104,29.23763772621872,0.104,29.23516661185601,0.104,29.23228449719135,0.104,29.22874761974452,0.104,29.24347924062842,0.104,29.24237709368062,0.104,29.24051613500433,0.104,29.23838607852539,0.104,29.23597050562287,0.104,29.23313778666331,0.104,29.22966181679842,0.104,29.24358703343359,0.104,29.24255464899291,0.104,29.24073622205583,0.104,29.2386313184464,0.104,29.23623224486251,0.104,29.23341369952479,0.104,29.22995540110673,0.104,29.24364089128107,0.104,29.24264322480704,0.104,29.24084580356414,0.104,29.23875315361198,0.104,29.23636195879068,0.104,29.23355007646888,0.104,29.2301001274479
0.112,29.23980521666421,0.112,29.23810814375265,0.112,29.23579017038382,0.112,29.23343815910966,0.112,29.23100886766115,0.112,29.2283481605775,0.112,29.22523517003845,0.112,29.24053356931579,0.112,29.2392978629645,0.112,29.23725221260194,0.112,29.235050690577,0.112,29.23271112515938,0.112,29.23012478513918,0.112,29.22711320739291,0.112,29.24077488773531,0.112,29.23968673428555,0.112,29.23772165327115,0.112,29.23555723572951,0.112,29.23323206130192,0.112,29.23065248145694,0.112,29.22765371914382,0.112,29.24085516478403,0.112,29.23981550943236,0.112,29.23787617118415,0.112,29.23572270610596,0.112,29.2334006587971,0.112,29.23082140021626,0.112,29.2278246703002,0.112,29.24089527219661,0.112,29.23987973683603,0.112,29.23795306264707,0.112,29.23580481135026,0.112,29.23348401815898,0.112,29.23090456315969,0.112,29.22790843292
0.1200000000000001,29.23647844383179,0.1200000000000001,29.23492557490494,0.1200000000000001,29.23253689583036,0.1200000000000001,29.23014863067204,0.1200000000000001,29.22778818344922,0.1200000000000001,29.22534193450161,0.1200000000000001,29.22264162397849,0.1200000000000001,29.23700959606447,0.1200000000000001,29.2357531960674,0.1200000000000001,29.23349554599718,0.1200000000000001,29.23112975759722,0.1200000000000001,29.2287337051955,0.1200000000000001,29.22623098931147,0.1200000000000001,29.22348719789447,0.1200000000000001,29.23718549719497,0.1200000000000001,29.23602293554328,0.1200000000000001,29.23380060369296,0.1200000000000001,29.23143132412626,0.1200000000000001,29.22901003891902,0.1200000000000001,29.22647267268879,0.1200000000000001,29.22369573954434,0.1200000000000001,29.23724400433947,0.1200000000000001,29.23611217198625,0.1200000000000001,29.23390069766093,0.1200000000000001,29.23152906034586,0.1200000000000001,29.22909791646498,0.1200000000000001,29.226547289349,0.1200000000000001,29.22375729500291,0.1200000000000001,29.23727323406429,0.1200000000000001,29.23615666434195,0.1200000000000001,29.23395044880933,0.1200000000000001,29.23157740959669,0.1200000000000001,29.22914106641581,0.1200000000000001,29.22658349046236,0.1200000000000001,29.22378659321492
0.1280000000000001,29.23196470131836,0.1280000000000001,29.23043726337817,0.1280000000000001,29.2277977641591,0.1280000000000001,29.22519040446022,0.1280000000000001,29.22271395096693,0.1280000000000001,29.22028568741762,0.1280000000000001,29.21777232087161,0.1280000000000001,29.23233669281276,0.1280000000000001,29.23096227464636,0.1280000000000001,29.2283223942577,0.1280000000000001,29.2256119431034,0.1280000000000001,29.22297328379391,0.1280000000000001,29.22035555774149,0.1280000000000001,29.21765364863662,0.1280000000000001,29.23245977649766,0.1280000000000001,29.23113227900232,0.1280000000000001,29.22848516210492,0.1280000000000001,29.22573065679055,0.1280000000000001,29.22302575973062,0.1280000000000001,29.22033011223615,0.1280000000000001,29.21754768956464,0.1280000000000001,29.23250070317838,0.1280000000000001,29.23118839605968,0.1280000000000001,29.22853808672456,0.1280000000000001,29.22576783678729,0.1280000000000001,29.22303953062604,0.1280000000000001,29.22031629602746,0.1280000000000001,29.21750510263442,0.1280000000000001,29.23252114801531,0.1280000000000001,29.23121635105844,0.1280000000000001,29.22856429991621,0.1280000000000001,29.22578598048468,0.1280000000000001,29.22304572190262,0.1280000000000001,29.22030839268135,0.1280000000000001,29.21748245323617
0.1360000000000001,29.22594745650582,0.1360000000000001,29.22433116041455,0.1360000000000001,29.22124625213356,0.1360000000000001,29.21822538876755,0.1360000000000001,29.21544475972834,0.1360000000000001,29.21284552570605,0.1360000000000001,29.210316373801,0.1360000000000001,29.22618697660825,0.1360000000000001,29.22459149162176,0.1360000000000001,29.22137531371878,0.1360000000000001,29.21811926151312,0.1360000000000001,29.21503943133586,0.1360000000000001,29.21210587429144,0.1360000000000001,29.20923209569866,0.1360000000000001,29.2262660750659,0.1360000000000001,29.22467405060581,0.1360000000000001,29.22140775168162,0.1360000000000001,29.21806421802459,0.1360000000000001,29.21487281455244,0.1360000000000001,29.21181305784213,0.1360000000000001,29.20880645135641,0.1360000000000001,29.22629235922897,0.1360000000000001,29.22470110370931,0.1360000000000001,29.221417397147,0.1360000000000001,29.21804370365046,0.1360000000000001,29.21481380399089,0.1360000000000001,29.21171034946276,0.1360000000000001,29.20865747628347,0.1360000000000001,29.22630548554248,0.1360000000000001,29.22471454344697,0.1360000000000001,29.22142200164173,0.1360000000000001,29.21803304149649,0.1360000000000001,29.2147836495933,0.1360000000000001,29.21165804067909,0.1360000000000001,29.20858166109946
0.1440000000000001,29.21800500215572,0.1440000000000001,29.21618166945919,0.1440000000000001,29.21242824481565,0.1440000000000001,29.20877366787704,0.1440000000000001,29.20548326612017,0.1440000000000001,29.20251704086622,0.1440000000000001,29.19977554807883,0.1440000000000001,29.21812932345291,0.1440000000000001,29.21619649260154,0.1440000000000001,29.21217221991754,0.1440000000000001,29.20813453196167,0.1440000000000001,29.20438786398169,0.1440000000000001,29.20092027769631,0.1440000000000001,29.19765575138929,0.1440000000000001,29.21817014157482,0.1440000000000001,29.21619769753125,0.1440000000000001,29.21207707486239,0.1440000000000001,29.20790256596773,0.1440000000000001,29.20399146922303,0.1440000000000001,29.20034097662199,0.1440000000000001,29.1968826015537,0.1440000000000001,29.2181836784708,0.1440000000000001,29.21619768588176,0.1440000000000001,29.21204427537461,0.1440000000000001,29.20782314938894,0.1440000000000001,29.20385587094914,0.1440000000000001,29.20014264637849,0.1440000000000001,29.19661746666222,0.1440000000000001,29.21819043401556,0.1440000000000001,29.21619760249092,0.1440000000000001,29.21202767283927,0.1440000000000001,29.20778304901031,0.1440000000000001,29.20378742239565,0.1440000000000001,29.20004250056218,0.1440000000000001,29.19648350603945
0.1520000000000001,29.20758251352784,0.1520000000000001,29.20542180672246,0.1520000000000001,29.20073271348924,0.1520000000000001,29.19618290647474,0.1520000000000001,29.19214493951866,0.1520000000000001,29.18859417112704,0.1520000000000001,29.18543457418413,0.1520000000000001,29.20760076824827,0.1520000000000001,29.20519305171833,0.1520000000000001,29.2000751694731,0.1520000000000001,29.19496829560103,0.1520000000000001,29.19028608115023,0.1520000000000001,29.18603315546257,0.1520000000000001,29.18213729423659,0.1520000000000001,29.20760630602695,0.1520000000000001,29.20511328455215,0.1520000000000001,29.19984627951682,0.1520000000000001,29.19454393624424,0.1520000000000001,29.1896332817024,0.1520000000000001,29.18512840406715,0.1520000000000001,29.18096472294534,0.1520000000000001,29.20760809127218,0.1520000000000001,29.20508630581822,0.1520000000000001,29.19976890584169,0.1520000000000001,29.19440031585163,0.1520000000000001,29.18941198146392,0.1520000000000001,29.18482110339905,0.1520000000000001,29.18056561177098,0.1520000000000001,29.20760897249369,0.1520000000000001,29.20507274334084,0.1520000000000001,29.19973001681142,0.1520000000000001,29.19432809889389,0.1520000000000001,29.18930063594113,0.1520000000000001,29.18466637798726,0.1520000000000001,29.18036450246656
