vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
120e-3,0,0,6,14e-9,0,47.9016e-18,359.81e-3,162.248e-9,-2.2661e-15,-33.6975e-21,137.229e-18,36.2146e-18,36.2146e-18
140e-3,0,0,6,14e-9,0,48.8367e-18,359.81e-3,315.583e-9,-1.4928e-15,-65.8317e-21,139.164e-18,37.1819e-18,37.1819e-18
160e-3,0,0,6,14e-9,0,49.782e-18,359.81e-3,613.125e-9,-3.9891e-15,-128.327e-21,141.179e-18,38.1896e-18,38.1896e-18
180e-3,0,0,6,14e-9,0,50.7849e-18,359.81e-3,1.1885e-6,-8.3505e-15,-249.073e-21,143.426e-18,39.3132e-18,39.3132e-18
200e-3,0,0,6,14e-9,0,51.9413e-18,359.81e-3,2.2944e-6,-14.5985e-15,-479.446e-21,146.2e-18,40.7e-18,40.7e-18
220e-3,0,0,6,14e-9,0,53.4235e-18,359.81e-3,4.3945e-6,-23.6188e-15,-908.801e-21,150.023e-18,42.6116e-18,42.6116e-18
240e-3,0,0,6,14e-9,0,55.5011e-18,359.81e-3,8.2981e-6,-37.1038e-15,-1.6762e-18,155.713e-18,45.4566e-18,45.4566e-18
260e-3,0,0,6,14e-9,0,58.5086e-18,359.81e-3,15.296e-6,-57.9883e-15,-2.9560e-18,164.288e-18,49.7439e-18,49.7439e-18
280e-3,0,0,6,14e-9,0,62.6919e-18,359.81e-3,27.1616e-6,-90.826e-15,-4.8820e-18,176.506e-18,55.8532e-18,55.8532e-18
300e-3,0,0,6,14e-9,0,67.9775e-18,359.81e-3,45.838e-6,-141.666e-15,-7.4299e-18,192.174e-18,63.6868e-18,63.6868e-18
320e-3,0,0,6,14e-9,0,73.9209e-18,359.81e-3,72.8504e-6,-217.245e-15,-10.3862e-18,209.973e-18,72.5864e-18,72.5864e-18
340e-3,0,0,6,14e-9,0,79.9693e-18,359.81e-3,108.852e-6,-324.082e-15,-13.4743e-18,228.246e-18,81.7229e-18,81.7229e-18
360e-3,0,0,6,14e-9,0,85.7463e-18,359.81e-3,153.614e-6,-468.201e-15,-16.4983e-18,245.848e-18,90.5239e-18,90.5239e-18
380e-3,0,0,6,14e-9,0,91.1074e-18,359.81e-3,206.309e-6,-655.485e-15,-19.3734e-18,262.32e-18,98.76e-18,98.76e-18
400e-3,0,0,6,14e-9,0,96.0499e-18,359.81e-3,265.813e-6,-892.178e-15,-22.0845e-18,277.627e-18,106.414e-18,106.414e-18
420e-3,0,0,6,14e-9,0,100.625e-18,359.81e-3,330.906e-6,-1.1852e-12,-24.6436e-18,291.895e-18,113.547e-18,113.547e-18
