vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
720e-3,0,500e-3,6,14e-9,890.107e-6,59.1795e-18,356.673e-3,104.747e-6,245.23e-6,-86.96e-18,357.942e-18,48.9282e-18,244.214e-18
740e-3,0,500e-3,6,14e-9,886.971e-6,60.3913e-18,356.673e-3,113.389e-6,263.006e-6,-89.8859e-18,365.41e-18,50.4011e-18,250.209e-18
760e-3,0,500e-3,6,14e-9,881.02e-6,61.5584e-18,356.673e-3,122.375e-6,280.69e-6,-92.6244e-18,372.472e-18,51.8417e-18,255.83e-18
780e-3,0,500e-3,6,14e-9,872.571e-6,62.6838e-18,356.673e-3,131.674e-6,298.23e-6,-95.1834e-18,379.146e-18,53.2528e-18,261.093e-18
800e-3,0,500e-3,6,14e-9,861.909e-6,63.7718e-18,356.673e-3,141.252e-6,315.578e-6,-97.5704e-18,385.452e-18,54.6385e-18,266.014e-18
0,0,500e-3,10,14e-9,8.3047e-9,50.1923e-18,356.125e-3,321.277e-12,250.651e-12,-894.396e-24,188.493e-18,29.7119e-18,50.7812e-18
20e-3,0,500e-3,10,14e-9,16.1724e-9,50.5894e-18,356.125e-3,625.651e-12,486.594e-12,-1.7480e-21,190.446e-18,30.1089e-18,52.3368e-18
40e-3,0,500e-3,10,14e-9,31.4926e-9,51.0059e-18,356.125e-3,1.2183e-9,946.214e-12,-3.4164e-21,192.452e-18,30.5254e-18,53.9264e-18
60e-3,0,500e-3,10,14e-9,61.3221e-9,51.4435e-18,356.125e-3,2.3724e-9,1.8413e-9,-6.6769e-21,194.499e-18,30.963e-18,55.5356e-18
80e-3,0,500e-3,10,14e-9,119.392e-9,51.9037e-18,356.125e-3,4.6193e-9,3.5843e-9,-13.0479e-21,196.573e-18,31.4231e-18,57.1501e-18
100e-3,0,500e-3,10,14e-9,232.396e-9,52.3883e-18,356.125e-3,8.9925e-9,6.9777e-9,-25.4921e-21,198.667e-18,31.9076e-18,58.7592e-18
120e-3,0,500e-3,10,14e-9,452.156e-9,52.8993e-18,356.125e-3,17.5e-9,13.5815e-9,-49.7807e-21,200.78e-18,32.4182e-18,60.3621e-18
140e-3,0,500e-3,10,14e-9,878.958e-9,53.4388e-18,356.125e-3,34.0332e-9,26.4244e-9,-97.116e-21,202.935e-18,32.9571e-18,61.9781e-18
160e-3,0,500e-3,10,14e-9,1.7057e-6,54.0091e-18,356.125e-3,66.101e-9,51.3691e-9,-189.095e-21,205.191e-18,33.5263e-18,63.6652e-18
180e-3,0,500e-3,10,14e-9,3.2994e-6,54.613e-18,356.125e-3,128.066e-9,99.699e-9,-366.802e-21,207.68e-18,34.1279e-18,65.5523e-18
200e-3,0,500e-3,10,14e-9,6.3432e-6,55.2535e-18,356.125e-3,246.95e-9,192.898e-9,-706.4e-21,210.655e-18,34.7642e-18,67.8909e-18
220e-3,0,500e-3,10,14e-9,12.0569e-6,55.9342e-18,356.125e-3,472.028e-9,371.047e-9,-1.3422e-18,214.566e-18,35.4369e-18,71.1293e-18
240e-3,0,500e-3,10,14e-9,22.4614e-6,56.6595e-18,356.125e-3,888.153e-9,706.229e-9,-2.4898e-18,220.12e-18,36.1483e-18,75.9718e-18
260e-3,0,500e-3,10,14e-9,40.4871e-6,57.4353e-18,356.125e-3,1.6275e-6,1.3201e-6,-4.4377e-18,228.211e-18,36.9013e-18,83.31e-18
280e-3,0,500e-3,10,14e-9,69.5325e-6,58.2692e-18,356.125e-3,2.8647e-6,2.3993e-6,-7.4521e-18,239.551e-18,37.7023e-18,93.8491e-18
300e-3,0,500e-3,10,14e-9,112.314e-6,59.1713e-18,356.125e-3,4.7788e-6,4.1934e-6,-11.5929e-18,254.07e-18,38.5633e-18,107.506e-18
320e-3,0,500e-3,10,14e-9,169.775e-6,60.1523e-18,356.125e-3,7.4925e-6,6.9901e-6,-16.6025e-18,270.704e-18,39.5013e-18,123.203e-18
340e-3,0,500e-3,10,14e-9,241.07e-6,61.2222e-18,356.125e-3,11.0358e-6,11.0769e-6,-22.0427e-18,288e-18,40.5329e-18,139.467e-18
360e-3,0,500e-3,10,14e-9,324.371e-6,62.3883e-18,356.125e-3,15.3576e-6,16.7131e-6,-27.5528e-18,304.903e-18,41.6701e-18,155.233e-18
380e-3,0,500e-3,10,14e-9,417.517e-6,63.6558e-18,356.125e-3,20.3663e-6,24.1174e-6,-32.9852e-18,321.031e-18,42.9204e-18,170.11e-18
400e-3,0,500e-3,10,14e-9,518.203e-6,65.0295e-18,356.125e-3,25.9628e-6,33.464e-6,-38.3832e-18,336.501e-18,44.2894e-18,184.211e-18
420e-3,0,500e-3,10,14e-9,623.929e-6,66.5144e-18,356.125e-3,32.0585e-6,44.8792e-6,-43.9003e-18,351.676e-18,45.7838e-18,197.893e-18
440e-3,0,500e-3,10,14e-9,731.942e-6,68.117e-18,356.125e-3,38.5801e-6,58.4365e-6,-49.7277e-18,366.992e-18,47.4128e-18,211.579e-18
460e-3,0,500e-3,10,14e-9,839.274e-6,69.844e-18,356.125e-3,45.4702e-6,74.1523e-6,-56.034e-18,382.838e-18,49.1882e-18,225.65e-18
480e-3,0,500e-3,10,14e-9,942.937e-6,71.7002e-18,356.125e-3,52.6894e-6,91.983e-6,-62.9055e-18,399.469e-18,51.1204e-18,240.348e-18
500e-3,0,500e-3,10,14e-9,1.0402e-3,73.6846e-18,356.125e-3,60.222e-6,111.827e-6,-70.3021e-18,416.919e-18,53.2137e-18,255.705e-18
520e-3,0,500e-3,10,14e-9,1.1289e-3,75.788e-18,356.125e-3,68.0838e-6,133.535e-6,-78.0626e-18,434.993e-18,55.4615e-18,271.532e-18
540e-3,0,500e-3,10,14e-9,1.2077e-3,77.9929e-18,356.125e-3,76.3236e-6,156.919e-6,-85.9671e-18,453.358e-18,57.8459e-18,287.512e-18
560e-3,0,500e-3,10,14e-9,1.2758e-3,80.2765e-18,356.125e-3,85.0132e-6,181.774e-6,-93.8108e-18,471.663e-18,60.3413e-18,303.322e-18
580e-3,0,500e-3,10,14e-9,1.3332e-3,82.6126e-18,356.125e-3,94.2298e-6,207.883e-6,-101.444e-18,489.63e-18,62.9187e-18,318.711e-18
600e-3,0,500e-3,10,14e-9,1.3801e-3,84.9745e-18,356.125e-3,104.041e-6,235.034e-6,-108.777e-18,507.067e-18,65.5489e-18,333.518e-18
620e-3,0,500e-3,10,14e-9,1.4173e-3,87.3364e-18,356.125e-3,114.495e-6,263.025e-6,-115.763e-18,523.859e-18,68.2041e-18,347.655e-18
640e-3,0,500e-3,10,14e-9,1.4454e-3,89.6747e-18,356.125e-3,125.623e-6,291.667e-6,-122.382e-18,539.942e-18,70.8597e-18,361.083e-18
660e-3,0,500e-3,10,14e-9,1.4652e-3,91.9692e-18,356.125e-3,137.438e-6,320.786e-6,-128.634e-18,555.287e-18,73.4947e-18,373.793e-18
680e-3,0,500e-3,10,14e-9,1.4777e-3,94.2045e-18,356.125e-3,149.936e-6,350.228e-6,-134.524e-18,569.886e-18,76.0932e-18,385.793e-18
700e-3,0,500e-3,10,14e-9,1.4835e-3,96.3699e-18,356.125e-3,163.101e-6,379.851e-6,-140.064e-18,583.744e-18,78.644e-18,397.1e-18
720e-3,0,500e-3,10,14e-9,1.4834e-3,98.4598e-18,356.125e-3,176.909e-6,409.53e-6,-145.265e-18,596.877e-18,81.1413e-18,407.736e-18
740e-3,0,500e-3,10,14e-9,1.4780e-3,100.473e-18,356.125e-3,191.323e-6,439.153e-6,-150.14e-18,609.308e-18,83.5833e-18,417.724e-18
760e-3,0,500e-3,10,14e-9,1.4680e-3,102.412e-18,356.125e-3,206.301e-6,468.621e-6,-154.703e-18,621.063e-18,85.9722e-18,427.091e-18
780e-3,0,500e-3,10,14e-9,1.4538e-3,104.282e-18,356.125e-3,221.793e-6,497.847e-6,-158.967e-18,632.173e-18,88.3127e-18,435.86e-18
800e-3,0,500e-3,10,14e-9,1.4359e-3,106.09e-18,356.125e-3,237.745e-6,526.751e-6,-162.944e-18,642.669e-18,90.6113e-18,444.058e-18
0,0,500e-3,20,14e-9,16.8385e-9,100.385e-18,355.714e-3,667.967e-12,508.174e-12,-1.8152e-21,376.986e-18,59.4238e-18,101.562e-18
20e-3,0,500e-3,20,14e-9,32.7907e-9,101.179e-18,355.714e-3,1.3007e-9,986.571e-12,-3.5477e-21,380.892e-18,60.2178e-18,104.674e-18
40e-3,0,500e-3,20,14e-9,63.8537e-9,102.012e-18,355.714e-3,2.5330e-9,1.9184e-9,-6.9338e-21,384.904e-18,61.0509e-18,107.853e-18
60e-3,0,500e-3,20,14e-9,124.335e-9,102.887e-18,355.714e-3,4.9325e-9,3.7334e-9,-13.5513e-21,388.998e-18,61.9259e-18,111.072e-18
80e-3,0,500e-3,20,14e-9,242.074e-9,103.807e-18,355.714e-3,9.6039e-9,7.2675e-9,-26.4815e-21,393.148e-18,62.8461e-18,114.301e-18
100e-3,0,500e-3,20,14e-9,471.195e-9,104.777e-18,355.714e-3,18.6961e-9,14.1478e-9,-51.7372e-21,397.336e-18,63.8149e-18,117.521e-18
120e-3,0,500e-3,20,14e-9,916.758e-9,105.798e-18,355.714e-3,36.383e-9,27.5371e-9,-101.03e-21,401.565e-18,64.8361e-18,120.729e-18
140e-3,0,500e-3,20,14e-9,1.7820e-6,106.877e-18,355.714e-3,70.7541e-9,53.5762e-9,-197.092e-21,405.88e-18,65.9135e-18,123.966e-18
160e-3,0,500e-3,20,14e-9,3.4581e-6,108.018e-18,355.714e-3,137.414e-9,104.15e-9,-383.736e-21,410.401e-18,67.0512e-18,127.35e-18
180e-3,0,500e-3,20,14e-9,6.6887e-6,109.225e-18,355.714e-3,266.202e-9,202.128e-9,-744.283e-21,415.395e-18,68.2533e-18,131.141e-18
200e-3,0,500e-3,20,14e-9,12.8567e-6,110.506e-18,355.714e-3,513.211e-9,391.043e-9,-1.4330e-18,421.375e-18,69.5233e-18,135.852e-18
220e-3,0,500e-3,20,14e-9,24.4299e-6,111.866e-18,355.714e-3,980.593e-9,752.067e-9,-2.7219e-18,429.251e-18,70.8645e-18,142.387e-18
240e-3,0,500e-3,20,14e-9,45.4874e-6,113.314e-18,355.714e-3,1.8438e-6,1.4310e-6,-5.0460e-18,440.447e-18,72.2794e-18,152.167e-18
260e-3,0,500e-3,20,14e-9,81.9232e-6,114.862e-18,355.714e-3,3.3751e-6,2.6738e-6,-8.9845e-18,456.753e-18,73.7725e-18,166.981e-18
280e-3,0,500e-3,20,14e-9,140.533e-6,116.525e-18,355.714e-3,5.9316e-6,4.8561e-6,-15.0661e-18,479.573e-18,75.3553e-18,188.217e-18
