vsg,vsb,vsd,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs
540e-3,0,200e-3,20,14e-9,1.7842e-3,519.381e-18,-350.443e-3,485.234e-6,-255.024e-6,-174.962e-18,1.0806e-15,316.527e-18,672.94e-18
560e-3,0,200e-3,20,14e-9,1.8445e-3,531.228e-18,-350.443e-3,586.829e-6,-291.341e-6,-182.347e-18,1.1149e-15,333.559e-18,690.172e-18
580e-3,0,200e-3,20,14e-9,1.8883e-3,543.036e-18,-350.443e-3,698.932e-6,-328.697e-6,-188.509e-18,1.1470e-15,350.696e-18,705.169e-18
600e-3,0,200e-3,20,14e-9,1.9169e-3,554.722e-18,-350.443e-3,820.561e-6,-366.774e-6,-193.595e-18,1.1771e-15,367.791e-18,718.184e-18
620e-3,0,200e-3,20,14e-9,1.9318e-3,566.226e-18,-350.443e-3,950.594e-6,-405.284e-6,-197.757e-18,1.2054e-15,384.727e-18,729.483e-18
640e-3,0,200e-3,20,14e-9,1.9344e-3,577.497e-18,-350.443e-3,1.0878e-3,-443.965e-6,-201.142e-18,1.2319e-15,401.415e-18,739.315e-18
660e-3,0,200e-3,20,14e-9,1.9262e-3,588.499e-18,-350.443e-3,1.2310e-3,-482.588e-6,-203.884e-18,1.2568e-15,417.781e-18,747.908e-18
680e-3,0,200e-3,20,14e-9,1.9087e-3,599.202e-18,-350.443e-3,1.3791e-3,-520.952e-6,-206.098e-18,1.2804e-15,433.767e-18,755.46e-18
700e-3,0,200e-3,20,14e-9,1.8831e-3,609.582e-18,-350.443e-3,1.5308e-3,-558.883e-6,-207.885e-18,1.3026e-15,449.324e-18,762.144e-18
720e-3,0,200e-3,20,14e-9,1.8506e-3,619.621e-18,-350.443e-3,1.6852e-3,-596.231e-6,-209.33e-18,1.3237e-15,464.419e-18,768.108e-18
740e-3,0,200e-3,20,14e-9,1.8125e-3,629.309e-18,-350.443e-3,1.8411e-3,-632.872e-6,-210.504e-18,1.3437e-15,479.026e-18,773.476e-18
760e-3,0,200e-3,20,14e-9,1.7698e-3,638.639e-18,-350.443e-3,1.9977e-3,-668.703e-6,-211.468e-18,1.3626e-15,493.127e-18,778.352e-18
780e-3,0,200e-3,20,14e-9,1.7232e-3,647.608e-18,-350.443e-3,2.1542e-3,-703.639e-6,-212.268e-18,1.3807e-15,506.714e-18,782.825e-18
800e-3,0,200e-3,20,14e-9,1.6738e-3,656.219e-18,-350.443e-3,2.31e-3,-737.615e-6,-212.946e-18,1.3979e-15,519.784e-18,786.965e-18
0,0,200e-3,40,14e-9,34.8433e-9,758.493e-18,-349.269e-3,1.6677e-9,-1.0524e-9,-6.0126e-21,826.477e-18,299.35e-18,344.727e-18
20e-3,0,200e-3,40,14e-9,67.5606e-9,761.786e-18,-349.269e-3,3.2336e-9,-2.0406e-9,-11.7727e-21,836.035e-18,302.643e-18,350.993e-18
40e-3,0,200e-3,40,14e-9,130.994e-9,765.311e-18,-349.269e-3,6.2699e-9,-3.9567e-9,-23.0498e-21,846.128e-18,306.167e-18,357.561e-18
60e-3,0,200e-3,40,14e-9,253.965e-9,769.085e-18,-349.269e-3,12.1564e-9,-7.6716e-9,-45.1254e-21,856.75e-18,309.941e-18,364.408e-18
80e-3,0,200e-3,40,14e-9,492.304e-9,773.129e-18,-349.269e-3,23.5671e-9,-14.8734e-9,-88.3272e-21,867.894e-18,313.984e-18,371.51e-18
100e-3,0,200e-3,40,14e-9,954.043e-9,777.46e-18,-349.269e-3,45.6796e-9,-28.8319e-9,-172.824e-21,879.576e-18,318.313e-18,378.863e-18
120e-3,0,200e-3,40,14e-9,1.8478e-6,782.097e-18,-349.269e-3,88.5067e-9,-55.8746e-9,-337.897e-21,891.858e-18,322.946e-18,386.512e-18
140e-3,0,200e-3,40,14e-9,3.5750e-6,787.056e-18,-349.269e-3,171.364e-9,-108.224e-9,-659.651e-21,904.92e-18,327.897e-18,394.622e-18
160e-3,0,200e-3,40,14e-9,6.9026e-6,792.352e-18,-349.269e-3,331.33e-9,-209.402e-9,-1.2840e-18,919.166e-18,333.18e-18,403.587e-18
180e-3,0,200e-3,40,14e-9,13.2754e-6,798e-18,-349.269e-3,638.944e-9,-404.371e-9,-2.4853e-18,935.428e-18,338.8e-18,414.228e-18
200e-3,0,200e-3,40,14e-9,25.3448e-6,804.012e-18,-349.269e-3,1.2261e-6,-777.957e-9,-4.7598e-18,955.258e-18,344.761e-18,428.097e-18
220e-3,0,200e-3,40,14e-9,47.7481e-6,810.409e-18,-349.269e-3,2.3318e-6,-1.4864e-6,-8.9418e-18,981.278e-18,351.069e-18,447.809e-18
240e-3,0,200e-3,40,14e-9,87.9225e-6,817.223e-18,-349.269e-3,4.3664e-6,-2.8056e-6,-16.2524e-18,1.0172e-15,357.743e-18,477.077e-18
260e-3,0,200e-3,40,14e-9,156.167e-6,824.516e-18,-349.269e-3,7.9765e-6,-5.1901e-6,-28.056e-18,1.0669e-15,364.847e-18,519.699e-18
280e-3,0,200e-3,40,14e-9,263.734e-6,832.386e-18,-349.269e-3,14.0662e-6,-9.3151e-6,-45.1416e-18,1.1320e-15,372.529e-18,577.108e-18
300e-3,0,200e-3,40,14e-9,418.953e-6,840.957e-18,-349.269e-3,23.7377e-6,-16.0587e-6,-66.94e-18,1.2096e-15,381.025e-18,646.265e-18
320e-3,0,200e-3,40,14e-9,623.947e-6,850.347e-18,-349.269e-3,38.1827e-6,-26.4066e-6,-91.6306e-18,1.2937e-15,390.592e-18,720.787e-18
340e-3,0,200e-3,40,14e-9,874.419e-6,860.649e-18,-349.269e-3,58.6076e-6,-41.3207e-6,-117.212e-18,1.3784e-15,401.447e-18,794.587e-18
360e-3,0,200e-3,40,14e-9,1.1617e-3,871.942e-18,-349.269e-3,86.2469e-6,-61.6292e-6,-142.454e-18,1.4604e-15,413.776e-18,864.311e-18
380e-3,0,200e-3,40,14e-9,1.4747e-3,884.356e-18,-349.269e-3,122.467e-6,-87.9607e-6,-167.101e-18,1.5395e-15,427.826e-18,929.347e-18
400e-3,0,200e-3,40,14e-9,1.8014e-3,898.108e-18,-349.269e-3,168.937e-6,-120.711e-6,-191.541e-18,1.6170e-15,443.986e-18,990.682e-18
420e-3,0,200e-3,40,14e-9,2.1290e-3,913.496e-18,-349.269e-3,227.801e-6,-160.024e-6,-216.293e-18,1.6948e-15,462.781e-18,1.0496e-15
440e-3,0,200e-3,40,14e-9,2.4451e-3,930.782e-18,-349.269e-3,301.706e-6,-205.795e-6,-241.516e-18,1.7742e-15,484.7e-18,1.1071e-15
460e-3,0,200e-3,40,14e-9,2.7391e-3,950.027e-18,-349.269e-3,393.562e-6,-257.682e-6,-266.747e-18,1.8552e-15,509.93e-18,1.1628e-15
480e-3,0,200e-3,40,14e-9,3.0026e-3,971.008e-18,-349.269e-3,506.051e-6,-315.156e-6,-291.067e-18,1.9364e-15,538.208e-18,1.2158e-15
500e-3,0,200e-3,40,14e-9,3.2309e-3,993.301e-18,-349.269e-3,641.118e-6,-377.554e-6,-313.533e-18,2.0160e-15,568.926e-18,1.2647e-15
520e-3,0,200e-3,40,14e-9,3.4220e-3,1.0164e-15,-349.269e-3,799.689e-6,-444.146e-6,-333.52e-18,2.0925e-15,601.369e-18,1.3088e-15
540e-3,0,200e-3,40,14e-9,3.5761e-3,1.0400e-15,-349.269e-3,981.67e-6,-514.19e-6,-350.794e-18,2.1651e-15,634.895e-18,1.3478e-15
560e-3,0,200e-3,40,14e-9,3.6949e-3,1.0637e-15,-349.269e-3,1.1861e-3,-586.958e-6,-365.415e-18,2.2334e-15,668.997e-18,1.3820e-15
580e-3,0,200e-3,40,14e-9,3.7806e-3,1.0873e-15,-349.269e-3,1.4115e-3,-661.765e-6,-377.607e-18,2.2975e-15,703.288e-18,1.4118e-15
600e-3,0,200e-3,40,14e-9,3.8360e-3,1.1107e-15,-349.269e-3,1.6557e-3,-737.98e-6,-387.663e-18,2.3575e-15,737.477e-18,1.4376e-15
620e-3,0,200e-3,40,14e-9,3.8643e-3,1.1337e-15,-349.269e-3,1.9167e-3,-815.027e-6,-395.891e-18,2.4138e-15,771.337e-18,1.4600e-15
640e-3,0,200e-3,40,14e-9,3.8681e-3,1.1562e-15,-349.269e-3,2.1920e-3,-892.39e-6,-402.582e-18,2.4666e-15,804.688e-18,1.4795e-15
660e-3,0,200e-3,40,14e-9,3.8506e-3,1.1782e-15,-349.269e-3,2.4791e-3,-969.612e-6,-408e-18,2.5164e-15,837.387e-18,1.4966e-15
680e-3,0,200e-3,40,14e-9,3.8146e-3,1.1995e-15,-349.269e-3,2.7757e-3,-1.0462e-3,-412.376e-18,2.5633e-15,869.317e-18,1.5116e-15
700e-3,0,200e-3,40,14e-9,3.7625e-3,1.2203e-15,-349.269e-3,3.0795e-3,-1.1220e-3,-415.907e-18,2.6077e-15,900.386e-18,1.5249e-15
720e-3,0,200e-3,40,14e-9,3.6969e-3,1.2403e-15,-349.269e-3,3.3884e-3,-1.1967e-3,-418.764e-18,2.6497e-15,930.525e-18,1.5367e-15
740e-3,0,200e-3,40,14e-9,3.6201e-3,1.2596e-15,-349.269e-3,3.7003e-3,-1.2698e-3,-421.088e-18,2.6895e-15,959.683e-18,1.5474e-15
760e-3,0,200e-3,40,14e-9,3.5341e-3,1.2783e-15,-349.269e-3,4.0136e-3,-1.3414e-3,-422.995e-18,2.7273e-15,987.829e-18,1.5571e-15
780e-3,0,200e-3,40,14e-9,3.4407e-3,1.2962e-15,-349.269e-3,4.3266e-3,-1.4112e-3,-424.582e-18,2.7634e-15,1.0149e-15,1.5660e-15
800e-3,0,200e-3,40,14e-9,3.3416e-3,1.3134e-15,-349.269e-3,4.6379e-3,-1.4790e-3,-425.927e-18,2.7977e-15,1.0410e-15,1.5743e-15
0,0,220e-3,2,14e-9,1.2662e-9,37.4814e-18,-359.518e-3,57.0739e-12,-38.2495e-12,-207.932e-24,41.0471e-18,14.7733e-18,17.1537e-18
20e-3,0,220e-3,2,14e-9,2.4552e-9,37.6326e-18,-359.518e-3,110.667e-12,-74.1612e-12,-407.199e-24,41.5071e-18,14.9246e-18,17.4626e-18
40e-3,0,220e-3,2,14e-9,4.7605e-9,37.7943e-18,-359.518e-3,214.58e-12,-143.793e-12,-797.403e-24,41.9929e-18,15.0862e-18,17.7867e-18
60e-3,0,220e-3,2,14e-9,9.2299e-9,37.9673e-18,-359.518e-3,416.048e-12,-278.803e-12,-1.5614e-21,42.5041e-18,15.2592e-18,18.1249e-18
80e-3,0,220e-3,2,14e-9,17.8936e-9,38.1525e-18,-359.518e-3,806.617e-12,-540.552e-12,-3.0570e-21,43.0401e-18,15.4444e-18,18.4757e-18
100e-3,0,220e-3,2,14e-9,34.6822e-9,38.351e-18,-359.518e-3,1.5636e-9,-1.0479e-9,-5.9837e-21,43.6007e-18,15.6428e-18,18.8379e-18
