vgs,vds,vsb,fins,length,id,gm,gds,cdd,cgg
0.78,0.02,0.0,2.0,1.0,9.555e-06,1.76823777466306e-05,0.0004679,4.9926905647927565e-17,1.479822660868443e-16
0.8,0.02,0.0,2.0,1.0,9.903e-06,1.7122107615529792e-05,0.0004855,5.0452116960130824e-17,1.4954198452914487e-16
0.0,0.04,0.0,2.0,1.0,1.83e-11,6.837404997804756e-10,2.163e-10,1.412659274883663e-17,4.1316623226656033e-17
0.02,0.04,0.0,2.0,1.0,3.579e-11,1.1809201943809802e-09,4.231e-10,1.44178462946948e-17,4.1921412010405235e-17
0.04,0.04,0.0,2.0,1.0,7.001e-11,2.353552496365413e-09,8.275e-10,1.4718649137138483e-17,4.2542116288463623e-17
0.06,0.04,0.0,2.0,1.0,1.37e-10,4.588260800226538e-09,1.619e-09,1.5029001276167677e-17,4.3178736060831204e-17
0.08,0.04,0.0,2.0,1.0,2.679e-10,8.980604900222819e-09,3.166e-09,1.534731116235147e-17,4.381535583319879e-17
0.1,0.04,0.0,2.0,1.0,5.239e-10,1.7531541635733985e-08,6.193e-09,1.5668804147397097e-17,4.445197560556637e-17
0.12,0.04,0.0,2.0,1.0,1.024e-09,3.432240890335418e-08,1.211e-08,1.5995071780735483e-17,4.5104510872243137e-17
0.14,0.04,0.0,2.0,1.0,2.003e-09,6.70713137052672e-08,2.369e-08,1.6313381666919273e-17,4.574113064461072e-17
0.16,0.04,0.0,2.0,1.0,3.912e-09,1.306456468434021e-07,4.631e-08,1.6615776058793874e-17,4.639366591128749e-17
0.18,0.04,0.0,2.0,1.0,7.63e-09,2.544991849901786e-07,9.048e-08,1.6934085944977664e-17,4.709394766089183e-17
0.2,0.04,0.0,2.0,1.0,1.485e-08,4.922524426599838e-07,1.766e-07,1.7252395831161454e-17,4.7873806882042125e-17
0.22,0.04,0.0,2.0,1.0,2.874e-08,9.433512844898926e-07,3.438e-07,1.7570705717345248e-17,4.887648302352106e-17
0.24,0.04,0.0,2.0,1.0,5.512e-08,1.775476887682583e-06,6.667e-07,1.7952677580765795e-17,5.027704652272974e-17
0.26,0.04,0.0,2.0,1.0,1.04e-07,3.244772426271472e-06,1.283e-06,1.8430142410041483e-17,5.2346060782924385e-17
0.28,0.04,0.0,2.0,1.0,1.911e-07,5.643900339629374e-06,2.432e-06,1.909859317102744e-17,5.537000470167039e-17
0.3,0.04,0.0,2.0,1.0,3.373e-07,9.176372906847664e-06,4.501e-06,2.0053522829578815e-17,5.949211772775049e-17
0.32,0.04,0.0,2.0,1.0,5.653e-07,1.3782231277846466e-05,8.019e-06,2.1342677868623165e-17,6.456916041238194e-17
0.34,0.04,0.0,2.0,1.0,8.929e-07,1.903573204085462e-05,1.357e-05,2.29660582881605e-17,7.02509918807626e-17
0.36,0.04,0.0,2.0,1.0,1.328e-06,2.4480133143612298e-05,2.162e-05,2.4828171122335673e-17,7.610789378654435e-17
0.38,0.04,0.0,2.0,1.0,1.87e-06,2.9608274463314867e-05,3.238e-05,2.673803043943842e-17,8.183747173785259e-17
0.4,0.04,0.0,2.0,1.0,2.508e-06,3.40858110882566e-05,4.579e-05,2.861605876792278e-17,8.728057079159541e-17
0.42,0.04,0.0,2.0,1.0,3.229e-06,3.789739902041552e-05,6.161e-05,3.038267863624282e-17,9.238944446484525e-17
0.44,0.04,0.0,2.0,1.0,4.019e-06,4.0973430506596025e-05,7.949e-05,3.2037890044398537e-17,9.716409275760212e-17
0.46,0.04,0.0,2.0,1.0,4.863e-06,4.3307716629712315e-05,9.909e-05,3.359760848669911e-17,1.0163634665848436e-16
0.48,0.04,0.0,2.0,1.0,5.747e-06,4.499466089143084e-05,0.00012,3.5045918468835354e-17,1.0586986814472879e-16
0.5,0.04,0.0,2.0,1.0,6.659e-06,4.6112717961800074e-05,0.0001419,3.6398735485116463e-17,1.0986465721633537e-16
0.52,0.04,0.0,2.0,1.0,7.588e-06,4.670366565896402e-05,0.0001646,3.767197502985163e-17,1.1363662936761328e-16
