vsg,vsd,vsb,fins,length,id,gm,gds,cdd,cgg
0.02,0.06,0.0,2.0,1.0,-4.99e-11,1.6369738491626912e-09,2.787e-10,4.157127113560306e-17,4.314690507221283e-17
0.04,0.06,0.0,2.0,1.0,-9.716e-11,3.241175647492915e-09,5.427e-10,4.184183453885929e-17,4.375169385596203e-17
0.06,0.06,0.0,2.0,1.0,-1.892e-10,6.295891494164302e-09,1.057e-09,4.2144228930733884e-17,4.438831362832961e-17
0.08,0.06,0.0,2.0,1.0,-3.683e-10,1.2251261176448322e-08,2.057e-09,4.244662332260849e-17,4.504084889500638e-17
0.1,0.06,0.0,2.0,1.0,-7.17e-10,2.387881288847039e-08,4.006e-09,4.2780848703101464e-17,4.572521515030153e-17
0.12,0.06,0.0,2.0,1.0,-1.396e-09,4.640734095819345e-08,7.798e-09,4.3115074083594447e-17,4.6441412394215066e-17
0.14,0.06,0.0,2.0,1.0,-2.715e-09,9.022848456466673e-08,1.518e-08,4.346521495839662e-17,4.717352513243778e-17
0.16,0.06,0.0,2.0,1.0,-5.279e-09,1.7519954235546327e-07,2.954e-08,4.381535583319879e-17,4.795338435358807e-17
0.18,0.06,0.0,2.0,1.0,-1.025e-08,3.3935897714010453e-07,5.747e-08,4.418141220231015e-17,4.879690555197511e-17
0.2,0.06,0.0,2.0,1.0,-1.985e-08,6.532699796898982e-07,1.117e-07,4.4563384065730704e-17,4.9783666199144866e-17
0.22,0.06,0.0,2.0,1.0,-3.823e-08,1.2450308831886934e-06,2.166e-07,4.496127142346043e-17,5.100915926095246e-17
0.24,0.06,0.0,2.0,1.0,-7.296e-08,2.3339293324222174e-06,4.186e-07,4.537507427549937e-17,5.2648455174798977e-17
0.26,0.06,0.0,2.0,1.0,-1.37e-07,4.236074831888898e-06,8.041e-07,4.586845459908424e-17,5.5003948332559034e-17
0.28,0.06,0.0,2.0,1.0,-2.504e-07,7.339666728904557e-06,1.528e-06,4.647324338283344e-17,5.829845565456127e-17
0.3,0.06,0.0,2.0,1.0,-4.404e-07,1.1917544422546886e-05,2.851e-06,4.73008490869113e-17,6.26593010952792e-17
0.32,0.06,0.0,2.0,1.0,-7.368e-07,1.795236800354083e-05,5.175e-06,4.841493368855457e-17,6.794324520593013e-17
0.34,0.06,0.0,2.0,1.0,-1.165e-06,2.4964482559783948e-05,9.019e-06,4.991099015361838e-17,7.384789359463944e-17
0.36,0.06,0.0,2.0,1.0,-1.737e-06,3.222015065466972e-05,1.491e-05,5.174127199917518e-17,8.002310538660499e-17
0.38,0.06,0.0,2.0,1.0,-2.452e-06,3.920448195624014e-05,2.319e-05,5.379437076506063e-17,8.615057069564295e-17
0.4,0.06,0.0,2.0,1.0,-3.3e-06,4.5410759196884735e-05,3.396e-05,5.587930051956446e-17,9.195972611849713e-17
0.42,0.06,0.0,2.0,1.0,-4.262e-06,5.0650998291773924e-05,4.704e-05,5.786873730821314e-17,9.730733220638482e-17
0.44,0.06,0.0,2.0,1.0,-5.32e-06,5.498380475169102e-05,6.216e-05,5.971493464807913e-17,1.0214564247637844e-16
0.46,0.06,0.0,2.0,1.0,-6.456e-06,5.851246005749535e-05,7.9e-05,6.138606155054403e-17,1.0652240341140556e-16
0.48,0.06,0.0,2.0,1.0,-7.655e-06,6.121507245448474e-05,9.725e-05,6.291394900422623e-17,1.1046944600008456e-16
0.5,0.06,0.0,2.0,1.0,-8.9e-06,6.322612788120491e-05,0.0001166,6.428268151481653e-17,1.140663477139614e-16
0.52,0.06,0.0,2.0,1.0,-1.018e-05,6.462937393757559e-05,0.0001368,6.552409007093332e-17,1.1734493954165443e-16
0.54,0.06,0.0,2.0,1.0,-1.148e-05,6.525537436548989e-05,0.0001577,6.665409016688577e-17,1.2036888346040044e-16
0.56,0.06,0.0,2.0,1.0,-1.279e-05,6.584872779926044e-05,0.000179,6.770451279129228e-17,1.2315409496450862e-16
0.58,0.06,0.0,2.0,1.0,-1.411e-05,6.584891283506268e-05,0.0002005,6.867535794415285e-17,1.2573240504259734e-16
0.6,0.06,0.0,2.0,1.0,-1.542e-05,6.52548192580828e-05,0.0002221,6.956662562546745e-17,1.2815156017759415e-16
0.62,0.06,0.0,2.0,1.0,-1.672e-05,6.463140933139944e-05,0.0002436,7.039423132954532e-17,1.3041156036949904e-16
0.64,0.06,0.0,2.0,1.0,-1.8e-05,6.321874181390562e-05,0.000265,7.11740905506956e-17,1.3252832111262127e-16
0.66,0.06,0.0,2.0,1.0,-1.925e-05,6.199362341296257e-05,0.0002862,7.189028779460913e-17,1.3453367339557914e-16
0.68,0.06,0.0,2.0,1.0,-2.048e-05,6.08067645342355e-05,0.0003069,7.259056954421347e-17,1.3642761721837268e-16
0.7,0.06,0.0,2.0,1.0,-2.168e-05,5.927891764890233e-05,0.0003273,7.322718931658105e-17,1.3822606807531113e-16
0.72,0.06,0.0,2.0,1.0,-2.285e-05,5.7577164068958236e-05,0.0003471,7.384789359463944e-17,1.399290259663944e-16
0.74,0.06,0.0,2.0,1.0,-2.398e-05,5.5412025274066115e-05,0.0003665,7.442085138977027e-17,1.4155240638593172e-16
0.76,0.06,0.0,2.0,1.0,-2.507e-05,5.3775135635979674e-05,0.0003852,7.49778936905919e-17,1.431121248282323e-16
0.78,0.06,0.0,2.0,1.0,-2.613e-05,5.198703138080612e-05,0.0004034,7.550310500279515e-17,1.4459226579898693e-16
0.8,0.06,0.0,2.0,1.0,-2.714e-05,4.88533633863113e-05,0.0004209,7.601240082068922e-17,1.460087447925048e-16
0.0,0.08,0.0,2.0,1.0,-2.781e-11,1.032452736888409e-09,8.301e-11,4.077549642014359e-17,4.2335214862444167e-17
